parent_molregno	chembl_id	pref_name	median Molar total plasma concentration	median pMolar total plasma concentration	median Molar unbound plasma concentration	median pMolar unbound plasma concentration	accession	summary	Ratio	Difference	integrated_plasma_activity
208749	CHEMBL1194	PRILOCAINE	6.354393609295572e-07	6.1969258872346105	4.57516339869281e-07	6.339593390803343	P10636	5.05	0.8149201865400348	-1.1469258872346106	0
208749	CHEMBL1194	PRILOCAINE	6.354393609295572e-07	6.1969258872346105	4.57516339869281e-07	6.339593390803343	P15428	4.7	0.7584405696511216	-1.4969258872346103	0
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	O15118	5.5	0.9519709475496974	-0.27748723756391147	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P00352	5.22	0.9035069720380763	-0.5574872375639117	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P02545	7.55	1.3067964825454936	1.7725127624360884	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P0DMS8	5.615	0.9718757946348274	-0.16248723756391126	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P10253	4.45	0.7702310393811188	-1.3274872375639113	0
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P10636	4.925	0.8524467121240471	-0.8524872375639116	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P14618	4.55	0.7875396020638404	-1.2274872375639116	0
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P15428	4.95	0.8567738527947276	-0.8274872375639113	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P18089	5.93	1.026397767085401	0.15251276243608825	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P35462	5.865	1.0151472013416318	0.08751276243608874	1
222203	CHEMBL1219	RABEPRAZOLE	1.6692168590902769e-06	5.7774872375639115	6.176102378634021e-08	7.2092855134969165	P51151	5.55	0.9606252288910582	-0.22748723756391165	1
224263	CHEMBL135400	ZOPICLONE	1.2859420811686639e-07	6.89077859159477	2.5718841623373278e-08	7.5897485959307875	P10636	6.05	0.8779849649181394	-0.8407785915947699	1
224263	CHEMBL135400	ZOPICLONE	1.2859420811686639e-07	6.89077859159477	2.5718841623373278e-08	7.5897485959307875	P46063	5.85	0.8489606685572091	-1.04077859159477	0
230659	CHEMBL1237	LISINOPRIL	1.7262638717632553e-07	6.762892818532918	1.7262638717632553e-07	6.762892818532918	P02545	9.0	1.3307914588468046	2.237107181467082	1
230659	CHEMBL1237	LISINOPRIL	1.7262638717632553e-07	6.762892818532918	1.7262638717632553e-07	6.762892818532918	P16473	5.1	0.7541151600131892	-1.6628928185329181	0
248669	CHEMBL1272	REPAGLINIDE	1.1356606274856384e-07	6.944751430623434	1.7034909412284463e-09	8.768660171567756	O15245	5.04	0.7257279184645428	-1.9047514306234339	0
248669	CHEMBL1272	REPAGLINIDE	1.1356606274856384e-07	6.944751430623434	1.7034909412284463e-09	8.768660171567756	P02545	6.4	0.9215592615422765	-0.5447514306234336	1
248669	CHEMBL1272	REPAGLINIDE	1.1356606274856384e-07	6.944751430623434	1.7034909412284463e-09	8.768660171567756	P28482	5.2	0.7487669000030996	-1.7447514306234337	0
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	O15245	4.695	0.9756578832569239	-0.11713761562324887	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	P00352	4.9	1.0182584937079717	0.0878623843767512	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	P08183	5.16	1.0722885362312518	0.347862384376751	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	P16473	4.6	0.9559161369503407	-0.2121376156232495	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	Q12809	6.03	1.2530813708283814	1.217862384376751	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	Q13936	4.7	0.9766969225362178	-0.11213761562324898	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	Q14524	4.970000000000001	1.0328050436180858	0.15786238437675149	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	Q96FL8	4.95	1.0286488865009102	0.13786238437675102	1
255477	CHEMBL1294	QUINIDINE	1.5412120091239752e-05	4.812137615623249	3.237e-06	5.489857300597427	Q9NUW8	7.5	1.558558918940773	2.687862384376751	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	O15245	5.58	1.127887257431076	0.6326970109501504	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	O75496	4.9	0.9904386310774683	-0.04730298904984931	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	O75604	5.1	1.0308646976520588	0.15269701095014998	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	O95342	4.859999999999999	0.98235341776255	-0.08730298904985023	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P00352	4.4	0.889373464640992	-0.5473029890498493	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P02545	6.425000000000001	1.2986873887087214	1.477697010950151	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P08172	4.805	0.9712362494545377	-0.14230298904984995	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P08183	5.13	1.0369286076382473	0.18269701095015023	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P08684	7.3100000000000005	1.4775727333012845	2.362697010950151	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P08913	4.915	0.9934705860705626	-0.03230298904984963	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P10636	4.775	0.9651723394683492	-0.1723029890498493	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P11511	5.97	1.2067180872515275	1.02269701095015	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P11712	4.4	0.889373464640992	-0.5473029890498493	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P16473	4.4	0.889373464640992	-0.5473029890498493	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P18089	4.91	0.9924599344061978	-0.03730298904984952	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P19838	5.25	1.0611842475830018	0.30269701095015034	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P21452	5.0	1.0106516643647636	0.052697010950150336	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P23975	4.62	0.9338421378730415	-0.32730298904984956	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P24557	5.67	1.1460789873896418	0.7226970109501503	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P25021	4.665	0.9429380028523243	-0.28230298904984963	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P28482	4.775	0.9651723394683492	-0.1723029890498493	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P31645	6.415	1.2966660853799916	1.4676970109501504	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P33261	4.72	0.9540551711603367	-0.2273029890498499	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P40225	4.9	0.9904386310774683	-0.04730298904984931	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P41143	5.119999999999999	1.0349073043095176	0.17269701095014955	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P51151	4.14	0.8368195780940242	-0.80730298904985	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	P54132	5.45	1.1016103141575924	0.5026970109501505	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q01453	4.37	0.8833095546548033	-0.5773029890498496	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q01959	4.68	0.9459699578454186	-0.26730298904984995	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q12809	5.72	1.1561855040332893	0.7726970109501501	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q16637	5.05	1.0207581810084112	0.10269701095015016	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q16665	5.1	1.0308646976520588	0.15269701095014998	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q6W5P4	4.9	0.9904386310774683	-0.04730298904984931	1
255904	CHEMBL157101	KETOCONAZOLE	1.1290079783230466e-05	4.94730298904985	1.1290079783230465e-07	6.94730298904985	Q9NUW8	4.425000000000001	0.8944267229628159	-0.522302989049849	1
255947	CHEMBL170	QUININE	2.157696812773565e-05	4.666009579945012	6.473090438320694e-06	5.188888325225348	O15244	5.47	1.172307923136425	0.8039904200549879	1
255947	CHEMBL170	QUININE	2.157696812773565e-05	4.666009579945012	6.473090438320694e-06	5.188888325225348	O15245	4.465	0.9569204527978314	-0.201009579945012	1
255947	CHEMBL170	QUININE	2.157696812773565e-05	4.666009579945012	6.473090438320694e-06	5.188888325225348	P08183	4.13	0.8851246293516335	-0.536009579945012	1
264400	CHEMBL1314	TIOPRONIN	3.0637254901960784e-05	4.513750150081823	1.3786764705882352e-05	4.860537636306481	P00352	4.75	1.0523400370119942	0.23624984991817666	1
264400	CHEMBL1314	TIOPRONIN	3.0637254901960784e-05	4.513750150081823	1.3786764705882352e-05	4.860537636306481	P02545	4.45	0.9858764557270261	-0.06375015008182316	1
264400	CHEMBL1314	TIOPRONIN	3.0637254901960784e-05	4.513750150081823	1.3786764705882352e-05	4.860537636306481	P10636	4.65	1.0301855099170047	0.136249849918177	1
264400	CHEMBL1314	TIOPRONIN	3.0637254901960784e-05	4.513750150081823	1.3786764705882352e-05	4.860537636306481	Q9NUW8	6.0	1.329271625699361	1.4862498499181767	1
267163	CHEMBL1323	DARUNAVIR	1.3453356948527395e-05	4.87116933482034	6.726678474263698e-07	6.172199330484321	Q14524	4.0	0.8211580680242414	-0.8711693348203404	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	B2RXH2	4.8	1.0716971318010902	0.32112265903601145	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P02545	6.0	1.3396214147513628	1.5211226590360116	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P06280	4.3	0.9600620139051433	-0.17887734096398855	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P06746	4.800000000000001	1.0716971318010904	0.32112265903601234	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P15428	4.5	1.0047160610635222	0.021122659036011626	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P16473	4.9	1.0940241553802796	0.421122659036012	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P46063	4.7	1.049370108221901	0.2211226590360118	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	P54132	4.5	1.0047160610635222	0.021122659036011626	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	Q99714	4.4	0.9823890374843328	-0.07887734096398802	1
305519	CHEMBL174	AMPICILLIN	3.3198820869465666e-05	4.478877340963988	2.821899773904581e-05	4.549458415249696	Q9NUW8	4.4	0.9823890374843328	-0.07887734096398802	1
306486	CHEMBL185073	PANCURONIUM	1.0473397570171764e-06	5.979912410334718	9.426057813154585e-08	7.025669900895393	P02545	6.85	1.1455017281125326	0.8700875896652818	1
306486	CHEMBL185073	PANCURONIUM	1.0473397570171764e-06	5.979912410334718	9.426057813154585e-08	7.025669900895393	P42345	6.68	1.1170732180717837	0.7000875896652818	1
306486	CHEMBL185073	PANCURONIUM	1.0473397570171764e-06	5.979912410334718	9.426057813154585e-08	7.025669900895393	P43351	5.08	0.8495107706294404	-0.8999124103347178	1
313314	CHEMBL1370	BUDESONIDE	4.999999999999999e-09	8.301029995663981	6.375000000000004e-10	9.195519810894007	P04150	8.555	1.0305949989903276	0.25397000433601846	1
313314	CHEMBL1370	BUDESONIDE	4.999999999999999e-09	8.301029995663981	6.375000000000004e-10	9.195519810894007	P06401	7.55	0.9095256858418438	-0.7510299956639814	1
313314	CHEMBL1370	BUDESONIDE	4.999999999999999e-09	8.301029995663981	6.375000000000004e-10	9.195519810894007	P08235	7.85	0.9456657793190031	-0.4510299956639816	1
313314	CHEMBL1370	BUDESONIDE	4.999999999999999e-09	8.301029995663981	6.375000000000004e-10	9.195519810894007	P19838	7.25	0.8733855923646844	-1.0510299956639813	0
