accession	parent_molregno	integrated_plasma_activity	predicted
P34969	2214	1	0
P41595	2214	1	0
P46063	2214	0	0
P46098	2214	1	0
P47898	2214	1	0
P50406	2214	1	0
Q13639	2214	1	0
Q6W5P4	2214	0	0
O15118	2223	0	0
O75496	2223	0	0
O95069	2223	0	0
P02545	2223	0	0
P08912	2223	0	0
P08913	2223	1	0
P10635	2223	1	0
P11229	2223	0	0
P15428	2223	0	0
P18089	2223	0	0
P20309	2223	0	0
P23975	2223	0	0
P28223	2223	1	0
P28335	2223	1	0
P31645	2223	1	0
P42345	2223	0	0
P42858	2223	0	0
P50406	2223	0	0
P51151	2223	0	0
Q01453	2223	0	0
Q01959	2223	0	0
Q12809	2223	0	0
Q99720	2223	1	0
Q9Y5N1	2223	0	0
P00352	2247	0	0
P10636	2247	0	0
P02545	2261	0	0
P06746	2261	0	0
P07305	2261	1	0
P08172	2261	1	0
P08173	2261	1	0
P08908	2261	1	0
P08912	2261	1	0
P08913	2261	1	0
P0DMS8	2261	1	0
P0DP23	2261	0	0
P10636	2261	0	0
P11229	2261	1	0
P14416	2261	1	0
P16473	2261	0	0
P18089	2261	1	0
P18825	2261	1	0
P19838	2261	1	0
P20309	2261	1	0
P21728	2261	1	0
P21917	2261	1	0
P21918	2261	1	0
P23975	2261	0	0
P25021	2261	0	0
P25100	2261	1	0
P28222	2261	1	0
P28223	2261	1	0
P28335	2261	1	0
P28482	2261	0	0
P28566	2261	1	0
P31645	2261	1	0
P34969	2261	1	0
P35348	2261	1	0
P35367	2261	1	0
P35368	2261	1	0
P35462	2261	1	0
P41595	2261	1	0
P46098	2261	1	0
P47898	2261	1	0
P50406	2261	1	0
P54132	2261	1	0
Q01453	2261	0	0
Q12809	2261	0	0
Q16637	2261	0	0
Q99714	2261	0	0
Q9H3N8	2261	1	0
Q9NUW8	2261	0	0
Q9Y5N1	2261	1	0
O15118	2262	0	0
P02545	2262	1	0
P04637	2262	0	0
P07949	2262	0	0
P08172	2262	1	0
P08173	2262	1	0
P08912	2262	1	0
P08913	2262	1	0
P10635	2262	1	0
P10636	2262	0	0
P11229	2262	1	0
P16473	2262	0	0
P18089	2262	1	0
P18825	2262	1	0
P20309	2262	1	0
P21728	2262	1	0
P23975	2262	1	0
P25021	2262	0	0
P25100	2262	1	0
P28223	2262	1	0
P28335	2262	1	0
P31645	2262	1	0
P33261	2262	0	0
P35367	2262	1	0
P35462	2262	1	0
P40225	2262	0	0
P41595	2262	1	0
P42345	2262	0	0
P42858	2262	0	0
P50406	2262	1	0
P51151	2262	0	0
Q01453	2262	0	0
Q01959	2262	0	0
Q16637	2262	0	0
Q6W5P4	2262	1	0
P14780	2326	0	0
B2RXH2	2327	0	0
P00352	2327	0	0
P18507	2327	0	0
P28472	2327	0	0
P47869	2327	0	0
P47870	2327	0	0
P14867	2431	1	0
P18507	2431	1	0
P28472	2431	1	0
P31644	2431	1	0
P34903	2431	1	0
P35367	2431	1	0
P47869	2431	1	0
P00374	2525	0	0
P16473	2525	1	0
Q16637	2525	0	0
Q9NUW8	2525	0	0
B2RXH2	2580	0	0
O15245	2580	0	0
O75496	2580	0	0
P00352	2580	0	0
P02545	2580	0	0
P04637	2580	0	0
P06280	2580	0	0
P10636	2580	0	0
P11388	2580	0	0
P15428	2580	0	0
P16473	2580	0	0
P27695	2580	0	0
P29466	2580	0	0
P40225	2580	0	0
P42226	2580	0	0
