tid	pref_name	target_type	accession	accession_organism	target_organism
76	Cytochrome P450 11B1	SINGLE PROTEIN	P15538	Homo sapiens	Homo sapiens
14	Adenosine deaminase	SINGLE PROTEIN	P00813	Homo sapiens	Homo sapiens
283	Succinate semialdehyde dehydrogenase	SINGLE PROTEIN	P51649	Homo sapiens	Homo sapiens
203	CAMPATH-1 antigen	SINGLE PROTEIN	P31358	Homo sapiens	Homo sapiens
121	Serotonin transporter	SINGLE PROTEIN	P31645	Homo sapiens	Homo sapiens
197	Platelet-derived growth factor receptor beta	SINGLE PROTEIN	P09619	Homo sapiens	Homo sapiens
10532	Butyrylcholinesterase	SINGLE PROTEIN	P06276	Homo sapiens	Homo sapiens
12046	Tubulin beta-1 chain	SINGLE PROTEIN	Q9H4B7	Homo sapiens	Homo sapiens
218	Alpha-2c adrenergic receptor	SINGLE PROTEIN	P18825	Homo sapiens	Homo sapiens
12786	Somatostatin receptor 1	SINGLE PROTEIN	P30872	Homo sapiens	Homo sapiens
12376	Glutamate receptor ionotropic kainate 1	SINGLE PROTEIN	P39086	Homo sapiens	Homo sapiens
103	Alpha-1d adrenergic receptor	SINGLE PROTEIN	P25100	Homo sapiens	Homo sapiens
249	Endothelin receptor ET-A	SINGLE PROTEIN	P25101	Homo sapiens	Homo sapiens
250	Neurokinin 1 receptor	SINGLE PROTEIN	P25103	Homo sapiens	Homo sapiens
150	Voltage-gated calcium channel alpha2/delta subunit 1	SINGLE PROTEIN	P54289	Homo sapiens	Homo sapiens
148	Vasopressin V1b receptor	SINGLE PROTEIN	P47901	Homo sapiens	Homo sapiens
133	Peroxisome proliferator-activated receptor gamma	SINGLE PROTEIN	P37231	Homo sapiens	Homo sapiens
136	Delta opioid receptor	SINGLE PROTEIN	P41143	Homo sapiens	Homo sapiens
147	Secretin receptor	SINGLE PROTEIN	P47872	Homo sapiens	Homo sapiens
163	Peroxisome proliferator-activated receptor alpha	SINGLE PROTEIN	Q07869	Homo sapiens	Homo sapiens
172	Thioredoxin reductase 1	SINGLE PROTEIN	Q16881	Homo sapiens	Homo sapiens
149	Xanthine dehydrogenase	SINGLE PROTEIN	P47989	Homo sapiens	Homo sapiens
224	Vitamin k epoxide reductase complex subunit 1 isoform 1	SINGLE PROTEIN	Q9BQB6	Homo sapiens	Homo sapiens
30	Aldehyde dehydrogenase	SINGLE PROTEIN	P05091	Homo sapiens	Homo sapiens
238	Stem cell growth factor receptor	SINGLE PROTEIN	P10721	Homo sapiens	Homo sapiens
10580	C-C chemokine receptor type 5	SINGLE PROTEIN	P51681	Homo sapiens	Homo sapiens
11206	Histone deacetylase 2	SINGLE PROTEIN	Q92769	Homo sapiens	Homo sapiens
128	Alpha-1b adrenergic receptor	SINGLE PROTEIN	P35368	Homo sapiens	Homo sapiens
169	Voltage-gated L-type calcium channel alpha-1C subunit	SINGLE PROTEIN	Q13936	Homo sapiens	Homo sapiens
102	Histamine H2 receptor	SINGLE PROTEIN	P25021	Homo sapiens	Homo sapiens
216	Alpha-2b adrenergic receptor	SINGLE PROTEIN	P18089	Homo sapiens	Homo sapiens
11195	HLA class II histocompatibility antigen DRB1-1	SINGLE PROTEIN	P04229	Homo sapiens	Homo sapiens
11140	Dipeptidyl peptidase IV	SINGLE PROTEIN	P27487	Homo sapiens	Homo sapiens
51	Serotonin 1a (5-HT1a) receptor	SINGLE PROTEIN	P08908	Homo sapiens	Homo sapiens
236	Neprilysin	SINGLE PROTEIN	P08473	Homo sapiens	Homo sapiens
11084	Melatonin receptor 1A	SINGLE PROTEIN	P48039	Homo sapiens	Homo sapiens
11085	Melatonin receptor 1B	SINGLE PROTEIN	P49286	Homo sapiens	Homo sapiens
271	Thyroid hormone receptor beta-1	SINGLE PROTEIN	P10828	Homo sapiens	Homo sapiens
180	Cyclophilin A	SINGLE PROTEIN	P62937	Homo sapiens	Homo sapiens
16	Antithrombin-III	SINGLE PROTEIN	P01008	Homo sapiens	Homo sapiens
86	Monoamine oxidase A	SINGLE PROTEIN	P21397	Homo sapiens	Homo sapiens
280	Adenosine A3 receptor	SINGLE PROTEIN	P0DMS8	Homo sapiens	Homo sapiens
28	Thymidylate synthase	SINGLE PROTEIN	P04818	Homo sapiens	Homo sapiens
11257	Ribonucleoside-diphosphate reductase M2 chain	SINGLE PROTEIN	P31350	Homo sapiens	Homo sapiens
11752	Vascular endothelial growth factor receptor 3	SINGLE PROTEIN	P35916	Homo sapiens	Homo sapiens
234	Insulin-like growth factor I receptor	SINGLE PROTEIN	P08069	Homo sapiens	Homo sapiens
241	3-beta-hydroxysteroid dehydrogenase/delta 5-->4-isomerase type I	SINGLE PROTEIN	P14060	Homo sapiens	Homo sapiens
198	Interleukin-1 receptor	SINGLE PROTEIN	P14778	Homo sapiens	Homo sapiens
78	Thyroid stimulating hormone receptor	SINGLE PROTEIN	P16473	Homo sapiens	Homo sapiens
11153	Voltage-gated potassium channel subunit Kv4.3	SINGLE PROTEIN	Q9UK17	Homo sapiens	Homo sapiens
154	Melanocortin receptor 2	SINGLE PROTEIN	Q01718	Homo sapiens	Homo sapiens
157	Dihydroorotate dehydrogenase	SINGLE PROTEIN	Q02127	Homo sapiens	Homo sapiens
38	Epoxide hydrolase 1	SINGLE PROTEIN	P07099	Homo sapiens	Homo sapiens
39	Tyrosine 3-hydroxylase	SINGLE PROTEIN	P07101	Homo sapiens	Homo sapiens
41	Alcohol dehydrogenase alpha chain	SINGLE PROTEIN	P07327	Homo sapiens	Homo sapiens
2	Sulfonylurea receptor 2	SINGLE PROTEIN	O60706	Homo sapiens	Homo sapiens
165	HERG	SINGLE PROTEIN	Q12809	Homo sapiens	Homo sapiens
73	Tyrosinase	SINGLE PROTEIN	P14679	Homo sapiens	Homo sapiens
12670	Tyrosine-protein kinase receptor FLT3	SINGLE PROTEIN	P36888	Homo sapiens	Homo sapiens
233	T-cell surface glycoprotein CD3 epsilon chain	SINGLE PROTEIN	P07766	Homo sapiens	Homo sapiens
60	Growth hormone receptor	SINGLE PROTEIN	P10912	Homo sapiens	Homo sapiens
64	Vitamin D receptor	SINGLE PROTEIN	P11473	Homo sapiens	Homo sapiens
65	Cytochrome P450 19A1	SINGLE PROTEIN	P11511	Homo sapiens	Homo sapiens
11480	Sodium channel protein type V alpha subunit	SINGLE PROTEIN	Q14524	Homo sapiens	Homo sapiens
35	Insulin receptor	SINGLE PROTEIN	P06213	Homo sapiens	Homo sapiens
276	Phosphodiesterase 4A	SINGLE PROTEIN	P27815	Homo sapiens	Homo sapiens
105	Serotonin 1d (5-HT1d) receptor	SINGLE PROTEIN	P28221	Homo sapiens	Homo sapiens
107	Serotonin 2a (5-HT2a) receptor	SINGLE PROTEIN	P28223	Homo sapiens	Homo sapiens
108	Serotonin 2c (5-HT2c) receptor	SINGLE PROTEIN	P28335	Homo sapiens	Homo sapiens
146	Glucagon receptor	SINGLE PROTEIN	P47871	Homo sapiens	Homo sapiens
24	HMG-CoA reductase	SINGLE PROTEIN	P04035	Homo sapiens	Homo sapiens
11225	Renin	SINGLE PROTEIN	P00797	Homo sapiens	Homo sapiens
140	Prostanoid FP receptor	SINGLE PROTEIN	P43088	Homo sapiens	Homo sapiens
174	Estrogen receptor beta	SINGLE PROTEIN	Q92731	Homo sapiens	Homo sapiens
244	Atrial natriuretic peptide receptor A	SINGLE PROTEIN	P16066	Homo sapiens	Homo sapiens
245	Renal dipeptidase	SINGLE PROTEIN	P16444	Homo sapiens	Homo sapiens
10752	Inhibitor of nuclear factor kappa B kinase beta subunit	SINGLE PROTEIN	O14920	Homo sapiens	Homo sapiens
