parent_molregno	accession	parent_chembl_id	target_organism	summary
1148	P22748	CHEMBL419	Homo sapiens	5.3100000000000005
1148	P23280	CHEMBL419	Homo sapiens	5.32
1148	P35218	CHEMBL419	Homo sapiens	4.56
1148	P43166	CHEMBL419	Homo sapiens	7.12
1148	Q16637	CHEMBL419	Homo sapiens	5.35
1148	Q16790	CHEMBL419	Homo sapiens	6.99
1148	Q9ULX7	CHEMBL419	Homo sapiens	5.5
1148	Q9Y2D0	CHEMBL419	Homo sapiens	4.91
1159	O43570	CHEMBL21	Homo sapiens	7.43
1159	O75604	CHEMBL21	Homo sapiens	5.0
1159	P00915	CHEMBL21	Homo sapiens	4.6
1159	P00918	CHEMBL21	Homo sapiens	5.62
1159	P07451	CHEMBL21	Homo sapiens	6.0
1159	P16473	CHEMBL21	Homo sapiens	6.0
1159	P22748	CHEMBL21	Homo sapiens	5.265
1159	P23280	CHEMBL21	Homo sapiens	6.03
1159	P35218	CHEMBL21	Homo sapiens	4.5
1159	P43166	CHEMBL21	Homo sapiens	7.16
1159	Q16790	CHEMBL21	Homo sapiens	6.535
1159	Q8N1Q1	CHEMBL21	Homo sapiens	7.48
1159	Q9NUW8	CHEMBL21	Homo sapiens	4.45
1159	Q9ULX7	CHEMBL21	Homo sapiens	5.27
1159	Q9Y2D0	CHEMBL21	Homo sapiens	5.44
1216	O15245	CHEMBL22	Homo sapiens	4.27
1216	P00352	CHEMBL22	Homo sapiens	4.55
1216	P00374	CHEMBL22	Homo sapiens	4.49
1216	P16473	CHEMBL22	Homo sapiens	5.3
1216	P19838	CHEMBL22	Homo sapiens	6.6
1216	P54132	CHEMBL22	Homo sapiens	8.49
1216	Q16637	CHEMBL22	Homo sapiens	5.9
1216	Q99714	CHEMBL22	Homo sapiens	8.2
1219	O15245	CHEMBL6966	Homo sapiens	5.355
1219	O75604	CHEMBL6966	Homo sapiens	5.0
1219	O95342	CHEMBL6966	Homo sapiens	4.1
1219	P02545	CHEMBL6966	Homo sapiens	4.45
1219	P08183	CHEMBL6966	Homo sapiens	5.51
1219	P08913	CHEMBL6966	Homo sapiens	6.45
1219	P16473	CHEMBL6966	Homo sapiens	5.3
1219	P25021	CHEMBL6966	Homo sapiens	5.59
1219	P28223	CHEMBL6966	Homo sapiens	6.630000000000001
1219	P28335	CHEMBL6966	Homo sapiens	6.67
1219	P31645	CHEMBL6966	Homo sapiens	6.76
1219	P33527	CHEMBL6966	Homo sapiens	4.88
1219	P35462	CHEMBL6966	Homo sapiens	6.965
1219	P41595	CHEMBL6966	Homo sapiens	6.880000000000001
1219	P46063	CHEMBL6966	Homo sapiens	5.8
1219	Q01453	CHEMBL6966	Homo sapiens	4.37
1219	Q12809	CHEMBL6966	Homo sapiens	6.85
1219	Q13936	CHEMBL6966	Homo sapiens	4.33
1219	Q14524	CHEMBL6966	Homo sapiens	4.38
1219	Q16637	CHEMBL6966	Homo sapiens	5.95
1219	Q6W5P4	CHEMBL6966	Homo sapiens	4.9
1219	Q9UNQ0	CHEMBL6966	Homo sapiens	4.43
1223	P00352	CHEMBL421	Homo sapiens	4.4
1223	P00915	CHEMBL421	Homo sapiens	5.34
1223	P00918	CHEMBL421	Homo sapiens	5.205
1223	P02545	CHEMBL421	Homo sapiens	7.5
1223	P03956	CHEMBL421	Homo sapiens	4.63
1223	P10636	CHEMBL421	Homo sapiens	4.9
1223	P15428	CHEMBL421	Homo sapiens	4.85
1223	P16473	CHEMBL421	Homo sapiens	5.8
1223	P24557	CHEMBL421	Homo sapiens	4.71
1223	P28482	CHEMBL421	Homo sapiens	5.2
1223	P29466	CHEMBL421	Homo sapiens	4.54
1223	Q16665	CHEMBL421	Homo sapiens	6.65
1223	Q9UPY5	CHEMBL421	Homo sapiens	4.52
1278	O15245	CHEMBL23	Homo sapiens	4.91
1278	P02545	CHEMBL23	Homo sapiens	4.6
1278	P08183	CHEMBL23	Homo sapiens	4.26
1278	P08684	CHEMBL23	Homo sapiens	5.74
1278	P10828	CHEMBL23	Homo sapiens	2.6
1278	P16473	CHEMBL23	Homo sapiens	4.5
1278	P42858	CHEMBL23	Homo sapiens	4.45
1278	P54132	CHEMBL23	Homo sapiens	6.6
1278	Q03164	CHEMBL23	Homo sapiens	4.5
1278	Q12809	CHEMBL23	Homo sapiens	4.76
1278	Q13936	CHEMBL23	Homo sapiens	4.36
1279	P02545	CHEMBL24	Homo sapiens	8.3
1279	P07550	CHEMBL24	Homo sapiens	4.915
1279	P08588	CHEMBL24	Homo sapiens	6.295
1279	P0DMS8	CHEMBL24	Homo sapiens	8.75
1279	Q9NUW8	CHEMBL24	Homo sapiens	7.15
1280	B2RXH2	CHEMBL25	Homo sapiens	4.475
1280	P00352	CHEMBL25	Homo sapiens	4.4
1280	P05106	CHEMBL25	Homo sapiens	5.3
1280	P08514	CHEMBL25	Homo sapiens	5.3
1280	P15428	CHEMBL25	Homo sapiens	4.475
1280	P16473	CHEMBL25	Homo sapiens	7.3
1280	P23219	CHEMBL25	Homo sapiens	4.795
