Drug name	chembl_id	molregno	Original synonyms	value	upper_value	reference	type	assay_id
RIBAVIRIN	CHEMBL1643	485738		0.0		PMID22210121	PPB	
RIFABUTIN	CHEMBL444633	397074		85.0		PMID22210121	PPB	
RIFAMPIN	CHEMBL374478	365189		89.0		PMID22210121	PPB	
RIMANTADINE	CHEMBL959	93858		40.0		PMID22210121	PPB	
RISPERIDONE	CHEMBL85	7714		89.0		PMID22210121	PPB	
SALICYLIC ACID	CHEMBL424	1362		95.0		PMID22210121	PPB	
SELEGILINE	CHEMBL972	96021		94.0		PMID22210121	PPB	
SERTRALINE	CHEMBL809	53616		99.0		PMID22210121	PPB	
SIMVASTATIN	CHEMBL1064	138562		94.0		PMID22210121	PPB	
SOTALOL	CHEMBL471	5528		17.5		PMID22210121	PPB	
STREPTOMYCIN	CHEMBL372795	334866		48.0		PMID22210121	PPB	
SUFENTANIL	CHEMBL658	27638		93.0		PMID22210121	PPB	
SULFAMETHOXAZOLE	CHEMBL443	2247		66.0		PMID22210121	PPB	
SULFAPHENAZOLE	CHEMBL1109	153330		95.0		PMID22210121	PPB	
SULFINPYRAZONE	CHEMBL832	60232		98.3		PMID22210121	PPB	
SULFISOXAZOLE	CHEMBL453	2484		91.4		PMID22210121	PPB	
SULINDAC	CHEMBL15770	16510		93.5		PMID22210121	PPB	
SUPROFEN	CHEMBL956	93117		20.0		PMID22210121	PPB	
TACRINE	CHEMBL95	9333		55.0		PMID22210121	PPB	
TAMOXIFEN	CHEMBL83	6968		98.0		PMID22210121	PPB	
TEMAZEPAM	CHEMBL967	95909		96.8		PMID22210121	PPB	
TENIPOSIDE	CHEMBL452231	453046		99.0		PMID22210121	PPB	
TERBUTALINE	CHEMBL1760	583322		20.0		PMID22210121	PPB	
TESTOSTERONE	CHEMBL386630	364520		60.0		PMID22210121	PPB	
TETRACYCLINE	CHEMBL1440	373985		18.0		PMID22210121	PPB	
THEOPHYLLINE	CHEMBL190	381693		56.0		PMID22210121	PPB	
THIOPENTAL	CHEMBL441	2166		82.5		PMID22210121	PPB	
TICARCILLIN	CHEMBL1449	378225		65.0		PMID22210121	PPB	
TICLOPIDINE	CHEMBL833	60319		96.5		PMID22210121	PPB	
TIMOLOL	CHEMBL499	8531		35.0		PMID22210121	PPB	
TOBRAMYCIN	CHEMBL1747	577488		10.0		PMID22210121	PPB	
TOCAINIDE	CHEMBL1762	583520		10.0		PMID22210121	PPB	
TOLAZAMIDE	CHEMBL817	56131		97.0		PMID22210121	PPB	
TOLBUTAMIDE	CHEMBL782	46726		96.0		PMID22210121	PPB	
TRIAMCINOLONE ACETONIDE	CHEMBL1504	419622		40.0		PMID22210121	PPB	
TRIAMTERENE	CHEMBL585	17411		61.0		PMID22210121	PPB	
TRIAZOLAM	CHEMBL646	27419		90.0		PMID22210121	PPB	
TRIMETHOPRIM	CHEMBL22	1216		41.5		PMID22210121	PPB	
TRYPTOPHAN	CHEMBL54976	84633		80.0		PMID22210121	PPB	
TUBOCURARINE	CHEMBL339427	203627		50.0		PMID22210121	PPB	
VALPROIC ACID	CHEMBL109	15217		93.0		PMID22210121	PPB	
VANCOMYCIN	CHEMBL262777	70140		30.0		PMID22210121	PPB	
VENLAFAXINE	CHEMBL637	27278		27.0		PMID22210121	PPB	
VERAPAMIL	CHEMBL6966	1219		90.0		PMID22210121	PPB	
WARFARIN	CHEMBL1464	394165		99.0		PMID22210121	PPB	
ZALCITABINE	CHEMBL853	65494		4.0		PMID22210121	PPB	
ZOMEPIRAC	CHEMBL19490	23001		98.5		PMID22210121	PPB	
AMIODARONE	CHEMBL633	27185		0.5		PMID15637086	ETCP unbound (nM)	
DESIPRAMINE	CHEMBL72	6243		108.0		PMID15637086	ETCP unbound (nM)	
DISOPYRAMIDE	CHEMBL517	11143		742.0		PMID15637086	ETCP unbound (nM)	
FLUOXETINE	CHEMBL41	2223		29.0		PMID15637086	ETCP unbound (nM)	
HALOPERIDOL	CHEMBL54	3859		3.6		PMID15637086	ETCP unbound (nM)	
IMIPRAMINE	CHEMBL11	605		106.0		PMID15637086	ETCP unbound (nM)	
KETOCONAZOLE	CHEMBL157101	255904		177.0		PMID15637086	ETCP unbound (nM)	
LORATADINE	CHEMBL998	110803		0.45		PMID15637086	ETCP unbound (nM)	
MEFLOQUINE	CHEMBL416956	51162		95.2		PMID15637086	ETCP unbound (nM)	
PHENYTOIN	CHEMBL16	921		4360.0		PMID15637086	ETCP unbound (nM)	
QUINIDINE	CHEMBL1294	255477		3237.0		PMID15637086	ETCP unbound (nM)	
RISPERIDONE	CHEMBL85	7714		1.81		PMID15637086	ETCP unbound (nM)	
SOTALOL	CHEMBL471	5528		14733.0		PMID15637086	ETCP unbound (nM)	
TAMOXIFEN	CHEMBL83	6968		21.0		PMID15637086	ETCP unbound (nM)	
VERAPAMIL	CHEMBL6966	1219		81.0		PMID15637086	ETCP unbound (nM)	
NIFEDIPINE	CHEMBL193	419596		7.7		PMID15637086	ETCP unbound (nM)	
NITRENDIPINE	CHEMBL475534	453570		3.02		PMID15637086	ETCP unbound (nM)	
CETIRIZINE	CHEMBL1000	111185		56.0		PMID15637086	ETCP unbound (nM)	
DIPHENHYDRAMINE	CHEMBL657	27629		34.0		PMID15637086	ETCP unbound (nM)	
