chembl_id	molregno	parent_molregno	parent_chembl_id
CHEMBL1201749	675700	675700	CHEMBL1201749
CHEMBL1201752	675703	675703	CHEMBL1201752
CHEMBL1201754	675705	675705	CHEMBL1201754
CHEMBL1201756	675707	675707	CHEMBL1201756
CHEMBL1201758	675709	675709	CHEMBL1201758
CHEMBL1201760	675711	675711	CHEMBL1201760
CHEMBL1201764	675715	675715	CHEMBL1201764
CHEMBL1201770	675721	660529	CHEMBL1186579
CHEMBL1201772	675723	675723	CHEMBL1201772
CHEMBL1201777	675728	675727	CHEMBL1201776
CHEMBL1201780	675731	675731	CHEMBL1201780
CHEMBL1201785	675736	675735	CHEMBL1201784
CHEMBL1201798	675749	675749	CHEMBL1201798
CHEMBL1201799	675750	675749	CHEMBL1201798
CHEMBL1201863	675812	675812	CHEMBL1201863
CHEMBL1205	213505	17224	CHEMBL584
CHEMBL1206690	680641	680641	CHEMBL1206690
CHEMBL1208	214701	214701	CHEMBL1208
CHEMBL1208306	682257	NULL	NULL
CHEMBL1213165	685006	691562	CHEMBL1229211
CHEMBL1213252	685093	685093	CHEMBL1213252
CHEMBL1213351	685193	685193	CHEMBL1213351
CHEMBL1214	218758	218758	CHEMBL1214
CHEMBL1214124	685974	685974	CHEMBL1214124
CHEMBL1215	219334	219334	CHEMBL1215
CHEMBL1218	221962	221962	CHEMBL1218
CHEMBL1219	222203	222203	CHEMBL1219
CHEMBL122	21697	21697	CHEMBL122
CHEMBL1220	222633	222633	CHEMBL1220
CHEMBL1221	223819	223819	CHEMBL1221
CHEMBL1229	228121	228121	CHEMBL1229
CHEMBL1229517	691867	691867	CHEMBL1229517
CHEMBL1231	229058	229058	CHEMBL1231
CHEMBL12318	10423	10423	CHEMBL12318
CHEMBL1232767	695117	695117	CHEMBL1232767
CHEMBL1233	230249	230249	CHEMBL1233
CHEMBL1233550	695900	695900	CHEMBL1233550
CHEMBL1234004	696354	696354	CHEMBL1234004
CHEMBL1234579	696929	696929	CHEMBL1234579
CHEMBL1237021	699372	699372	CHEMBL1237021
CHEMBL1237061	699412	675704	CHEMBL1201753
CHEMBL1237117	699468	699468	CHEMBL1237117
CHEMBL1237119	699470	699470	CHEMBL1237119
CHEMBL1237122	699473	699473	CHEMBL1237122
CHEMBL1237129	699480	421102	CHEMBL252923
CHEMBL1237132	699483	699483	CHEMBL1237132
CHEMBL1238	230691	230691	CHEMBL1238
CHEMBL1239	230966	230966	CHEMBL1239
CHEMBL1252	237298	237298	CHEMBL1252
CHEMBL1255800	704780	704780	CHEMBL1255800
